quarter date,EPS
2025-12-31,$2.84
2025-09-30,$1.84
2025-06-30,$1.57
2025-03-31,$1.65
2024-12-31,$2.40
2024-09-30,$0.97
2024-06-30,$1.40
2024-03-31,$1.53
2023-12-31,$2.18
2023-09-30,$1.47
2023-06-30,$1.26
2023-03-31,$1.52
2022-12-31,$1.88
2022-09-30,$1.29
2022-06-30,$1.20
2022-03-31,$1.52
2021-12-31,$2.10
2021-09-30,$1.23
2021-06-30,$1.30
2021-03-31,$1.40
2020-12-31,$1.68
2020-09-30,$0.74
2020-06-30,$0.65
2020-03-31,$0.64
2019-12-31,$1.25
2019-09-30,$0.77
2019-06-30,$0.55
2019-03-31,$0.62
2018-12-31,$1.05
2018-09-30,$0.74
2018-06-30,$0.59
2018-03-31,$0.68
2017-12-31,$0.97
2017-09-30,$0.52
2017-06-30,$0.42
2017-03-31,$0.53
2016-12-31,$0.84
2016-09-30,$0.43
2016-06-30,$0.36
2016-03-31,$0.48
2015-12-31,$0.82
2015-09-30,$0.50
2015-06-30,$0.46
2015-03-31,$0.58
2014-12-31,$0.77
2014-09-30,$0.36
2014-06-30,$0.32
2014-03-31,$0.42
2013-12-31,$0.52
2013-09-30,$0.30
2013-06-30,$0.27
2013-03-31,$0.36
2012-12-31,$0.49
2012-09-30,$0.31
2012-06-30,$0.33
2012-03-31,$0.44
2011-12-31,$0.50
2011-09-30,$0.25
2011-06-30,$0.28
