Date,Stock Price,PE Ratio
2026-05-01,280.14,35.46
2025-12-31,271.61,34.38
2025-09-30,254.15,34.07
2025-06-30,204.55,31.04
2025-03-31,221.17,34.45
2024-12-31,249.06,39.53
2024-09-30,231.48,38.07
2024-06-30,209,31.76
2024-03-31,169.93,26.39
2023-12-31,190.55,29.63
2023-09-30,169.23,27.61
2023-06-30,191.46,32.18
2023-03-31,162.55,27.6
2022-12-31,127.88,21.71
2022-09-30,135.79,22.22
2022-06-30,134.15,22.17
2022-03-31,171.08,27.82
2021-12-31,173.76,28.82
2021-09-30,138.26,24.65
2021-06-30,133.63,26.1
2021-03-31,118.97,26.62
2020-12-31,129.05,34.78
2020-09-30,112.44,34.28
2020-06-30,88.38,26.74
2020-03-31,61.44,19.2
2019-12-31,70.79,22.29
2019-09-30,53.83,18.12
2019-06-30,47.39,16.09
2019-03-31,45.3,15.18
2018-12-31,37.46,12.27
2018-09-30,53.42,17.93
2018-06-30,43.66,15.82
2018-03-31,39.42,15.2
2017-12-31,39.6,16.26
2017-09-30,35.93,15.61
2017-06-30,33.44,15.13
2017-03-31,33.22,15.47
2016-12-31,26.67,12.72
2016-09-30,25.9,12.47
2016-06-30,21.78,10.16
2016-03-31,24.68,10.96
2015-12-31,23.71,10.05
2015-09-30,24.74,10.73
2015-06-30,28.01,12.91
2015-03-31,27.67,13.65
2014-12-31,24.45,13.14
2014-09-30,22.22,13.78
2014-06-30,20.39,13.14
2014-03-31,16.73,11.16
2013-12-31,17.39,12.04
2013-09-30,14.69,10.34
2013-06-30,12.14,8.48
2013-03-31,13.46,8.99
2012-12-31,16.09,10.21
2012-09-30,20.07,12.72
2012-06-30,17.5,11.51
2012-03-31,17.96,12.26
2011-12-31,12.14,9.67
2011-09-30,11.43,11.56
2011-06-30,10.06,11.15
2011-03-31,10.44,13.94
2010-12-31,9.66,15.11
2010-09-30,8.5,15.71
2010-06-30,7.54,15.88
2010-03-31,7.04,16.72
2009-12-31,6.31,17.25
2009-09-30,5.55,17.12
2009-06-30,4.27,13.32
2009-03-31,3.15,10.82
2008-12-31,2.56,9.52
2008-09-30,3.41,14.06
2008-06-30,5.02,27.49
2008-03-31,4.3,24.87
2007-12-31,5.94,36.5
2007-09-30,4.6,32.75
2007-06-30,3.66,28.91
2007-03-31,2.78,24.66
2006-12-31,2.54,25.78
