date,eps
2026-03-31,$2.78
2025-12-31,$1.95
2025-09-30,$1.95
2025-06-30,$1.68
2025-03-31,$1.59
2024-12-31,$1.86
2024-09-30,$1.43
2024-06-30,$1.26
2024-03-31,$0.98
2023-12-31,$1.00
2023-09-30,$0.94
2023-06-30,$0.65
2023-03-31,$0.31
2022-12-31,$0.03
2022-09-30,$0.28
2022-06-30,-$0.20
2022-03-31,-$0.38
2021-12-31,$1.38
2021-09-30,$0.31
2021-06-30,$0.76
2021-03-31,$0.79
2020-12-31,$0.71
2020-09-30,$0.62
2020-06-30,$0.52
2020-03-31,$0.25
2019-12-31,$0.32
2019-09-30,$0.21
2019-06-30,$0.26
2019-03-31,$0.36
2018-12-31,$0.30
2018-09-30,$0.29
2018-06-30,$0.25
2018-03-31,$0.16
2017-12-31,$0.19
2017-09-30,$0.03
2017-06-30,$0.02
2017-03-31,$0.07
2016-12-31,$0.08
2016-09-30,$0.03
2016-06-30,$0.09
2016-03-31,$0.05
2015-12-31,$0.05
2015-09-30,$0.01
2015-06-30,$0.01
2015-03-31,-$0.01
2014-12-31,$0.02
2014-09-30,-$0.05
2014-06-30,-$0.01
2014-03-31,$0.01
2013-12-31,$0.03
2013-09-30,-$0.01
2013-06-30,$0.00
2013-03-31,$0.01
2012-12-31,$0.01
2012-09-30,-$0.03
2012-06-30,$0.00
2012-03-31,$0.01
2011-12-31,$0.02
2011-09-30,$0.01
2011-06-30,$0.02
