date,eps
2026-03-31,$4.27
2025-12-31,$5.16
2025-09-30,$3.72
2025-06-30,$3.65
2025-03-31,$3.46
2024-12-31,$3.23
2024-09-30,$3.30
2024-06-30,$2.94
2024-03-31,$2.94
2023-12-31,$2.93
2023-09-30,$2.99
2023-06-30,$2.68
2023-03-31,$2.45
2022-12-31,$2.20
2022-09-30,$2.35
2022-06-30,$2.24
2022-03-31,$2.22
2021-12-31,$2.48
2021-09-30,$2.71
2021-06-30,$2.17
2021-03-31,$2.03
2020-12-31,$2.03
2020-09-30,$1.82
2020-06-30,$1.47
2020-03-31,$1.40
2019-12-31,$1.51
2019-09-30,$1.38
2019-06-30,$1.70
2019-03-31,$1.14
2018-12-31,$1.08
2018-09-30,$1.14
2018-06-30,$1.16
2018-03-31,$0.95
2017-12-31,-$0.82
2017-09-30,$0.84
2017-06-30,$1.03
2017-03-31,$0.70
2016-12-31,$0.80
2016-09-30,$0.72
2016-06-30,$0.86
2016-03-31,$0.47
2015-12-31,$0.62
2015-09-30,$0.61
2015-06-30,-$0.38
2015-03-31,$0.61
2014-12-31,$0.71
2014-09-30,$0.54
2014-06-30,$0.55
2014-03-31,$0.68
2013-12-31,$0.78
2013-09-30,$0.62
2013-06-30,$0.57
2013-03-31,$0.72
2012-12-31,$0.76
2012-09-30,$0.53
2012-06-30,-$0.06
2012-03-31,$0.60
2011-12-31,$0.78
2011-09-30,$0.68
2011-06-30,$0.69
