date,eps
2026-01-31,$1.76
2025-10-31,$1.30
2025-07-31,$1.08
2025-04-30,$0.76
2025-01-31,$0.89
2024-10-31,$0.78
2024-07-31,$0.67
2024-04-30,$0.60
2024-01-31,$0.49
2023-10-31,$0.37
2023-07-31,$0.25
2023-04-30,$0.08
2023-01-31,$0.05
2022-10-31,$0.03
2022-07-31,$0.03
2022-04-30,$0.06
2022-01-31,$0.12
2021-10-31,$0.10
2021-07-31,$0.09
2021-04-30,$0.08
2021-01-31,$0.06
2020-10-31,$0.05
2020-07-31,$0.03
2020-04-30,$0.04
2020-01-31,$0.04
2019-10-31,$0.04
2019-07-31,$0.02
2019-04-30,$0.02
2019-01-31,$0.02
2018-10-31,$0.05
2018-07-31,$0.04
2018-04-30,$0.05
2018-01-31,$0.05
2017-10-31,$0.03
2017-07-31,$0.02
2017-04-30,$0.02
2017-01-31,$0.03
2016-10-31,$0.02
2016-07-31,$0.01
2016-04-30,$0.01
2016-01-31,$0.01
2015-10-31,$0.01
2015-07-31,$0.00
2015-04-30,$0.01
2015-01-31,$0.01
2014-10-31,$0.01
2014-07-31,$0.01
2014-04-30,$0.01
2014-01-31,$0.01
2013-10-31,$0.01
2013-07-31,$0.00
2013-04-30,$0.00
2013-01-31,$0.01
2012-10-31,$0.01
2012-07-31,$0.01
2012-04-30,$0.00
2012-01-31,$0.01
2011-10-31,$0.01
2011-07-31,$0.01
